FieldName,TypeOfPerturbation,Methods,Class
PerturbationId ,Inhibition,PerturbIterator,Journalist
PerturbationType ,Inhibition,PerturbIterator,Journalist
Activity,Inhibition,getActives,GeneralDataHandler
PerturbationMeasure,Inhibition,getMeasures,GeneralDataHandler
Perturbagen,Inhibition,getPerturbagenAndAttributes,PerturbagenFetcher
Target,Inhibition,getSynonyms,Synonyms
Target,Inhibition,getOntologyClass,Subsumption
Target,Inhibition,getproteinAttributes,GeneralDataHandler
Target,Apoptisis,getCellLineandItsAttributes,GeneralDataHandler
Target,Apoptisis,getOntologyClass,Subsumption
Target,Apoptisis,getOntologyClass,Subsumption
SmallMoleculeName  ,Inhibition,getMoleculeName,SmallMoleculeDataHandler
SmallMoleculeName  ,Apoptisis,getMoleculeName,SmallMoleculeDataHandler
PerturbationMeasure,Apoptisis,getMeasures,GeneralDataHandler
MolecularWeight,Apoptisis,getMolecularWeight,SmallMoleculeDataHandler
MolecularWeight,Inhibition,getMolecularWeight,SmallMoleculeDataHandler
PubchemId,Inhibition,getPubchemId,SmallMoleculeDataHandler
PubchemId,Apoptisis,getPubchemId,SmallMoleculeDataHandler
PerturbagenId,Inhibition,getLifeId,SmallMoleculeDataHandler
PerturbagenId,Apoptisis,getLifeId,SmallMoleculeDataHandler
ProteinId,Inhibition,getProteinId,ProteinDataHandler
ProteinName,Inhibition,getProteinName,ProteinDataHandler
Mutation ,Inhibition,getMutation,ProteinDataHandler
Modification,Inhibition,getModification,ProteinDataHandler
 LabelingSite,Inhibition,getLabelingSite,ProteinDataHandler
UniprotId,Inhibition,getUniprotId,ProteinDataHandler
CellLineName,Apoptisis,getCellLineName,CellLineDataHandler
CellLineDisease,Apoptisis,getCellLineDisease,CellLineDataHandler
CellLineGeneticMutation  ,Apoptisis,getCellLineGeneticMutation ,CellLineDataHandler
CellLineOrganism,Apoptisis,getCellLineOrganism,CellLineDataHandler
CellLineCatelogId,Apoptisis,getCellLineCatelogId,CellLineDataHandler
CellLineTissue,Apoptisis,getCellLineTissue,CellLineDataHandler
CellLineType,Apoptisis,getCellLineType,CellLineDataHandler
GeneName,Regulation,getGeneName,GeneDataHandler
GeneId,Regulation,getGeneId,GeneDataHandler
GeneSymbol,Regulation,getGeneSymbol,GeneDataHandler
GeneOrganism,Regulation,getGeneOrganism,GeneDataHandler
AssayId,Inhibition,getAssayId,FetchAssayInfo
AssayId,Regulation,getAssayId,FetchAssayInfo
AssayId,Apoptisis,getAssayId,FetchAssayInfo
AssayName,Inhibition,getAssayName,FetchAssayInfo
AssayName,Apoptisis,getAssayName,FetchAssayInfo
AssayName,Regulation,getAssayName,FetchAssayInfo
AssayType,Inhibition,getAssayTechnology,FetchAssayInfo
AssayType,Apoptisis,getAssayTechnology,FetchAssayInfo
AssayType,Regulation,getAssayTechnology,FetchAssayInfo
AssayFormat,Inhibition,getAssayFormat,FetchAssayInfo
AssayFormat,Apoptisis,getAssayFormat,FetchAssayInfo
AssayFormat,Regulation,getAssayFormat,FetchAssayInfo
Summary,Inhibition,,FetchAssayInfo
Summary,Apoptisis,,FetchAssayInfo
Summary,Regulation,,FetchAssayInfo
